date,instrument,direction,qty,entry_price,exit_price,pnl,exit_reason,tick_size,tick_value
2026-05-01,MNQ,short,60,21166.5,21159.25,840.0,TP Hit,0.25,0.5
2026-05-04,MNQ,short,65,21897.25,21904.5,-975.0,SL Hit,0.25,0.5
2026-05-04,MNQ,long,40,21932.75,21922.75,-820.0,SL Hit,0.25,0.5
2026-05-05,MNQ,short,61,20799.75,20791.75,945.5,TP Hit,0.25,0.5
2026-05-05,MNQ,short,46,20783.0,20772.5,943.0,TP Hit,0.25,0.5
2026-05-06,MNQ,long,115,18836.25,18827.0,-2185.0,SL Hit,0.25,0.5
2026-05-06,MNQ,long,24,18837.25,18815.5,-1056.0,SL Hit,0.25,0.5
2026-05-07,MNQ,long,34,19368.0,19354.75,-918.0,SL Hit,0.25,0.5
2026-05-07,MNQ,long,27,19369.25,19351.75,-958.5,SL Hit,0.25,0.5
2026-05-08,MNQ,short,30,19496.5,19484.0,735.0,TP Hit,0.25,0.5
2026-05-11,MNQ,short,51,20090.25,20100.75,-1096.5,SL Hit,0.25,0.5
2026-05-11,MNQ,long,29,20129.75,20112.75,-1000.5,SL Hit,0.25,0.5
2026-05-12,ES,short,1,5895.75,5908.0,-625.0,SL Hit,0.25,12.5
2026-05-13,MNQ,short,26,19625.75,19608.25,897.0,TP Hit,0.25,0.5
2026-05-14,MES,short,29,5499.25,5493.0,870.0,TP Hit,0.25,1.25
2026-05-15,MNQ,short,28,21121.25,21105.0,896.0,TP Hit,0.25,0.5
2026-05-18,MNQ,short,36,20557.25,20545.25,846.0,TP Hit,0.25,0.5
2026-05-19,ES,long,1,5323.75,5335.5,575.0,TP Hit,0.25,12.5
2026-05-20,NQ,short,2,21016.0,21033.25,-700.0,SL Hit,0.25,5.0
2026-05-20,NQ,long,1,21088.0,21114.75,530.0,TP Hit,0.25,5.0
2026-05-21,MNQ,long,22,19668.0,19685.75,770.0,TP Hit,0.25,0.5
2026-05-22,MNQ,long,25,18690.0,18713.0,1137.5,TP Hit,0.25,0.5
2026-05-25,MNQ,short,24,19039.75,19018.0,1032.0,TP Hit,0.25,0.5
2026-05-26,MNQ,short,31,20205.25,20191.0,868.0,TP Hit,0.25,0.5
2026-05-27,MNQ,long,36,20844.5,20862.0,1242.0,TP Hit,0.25,0.5
2026-05-28,MES,short,33,5834.5,5840.5,-1031.25,SL Hit,0.25,1.25
2026-05-28,MES,short,37,5834.25,5828.5,1017.5,TP Hit,0.25,1.25
2026-05-29,MES,short,27,5520.0,5527.75,-1080.0,SL Hit,0.25,1.25
2026-05-29,MES,short,31,5524.5,5531.0,-1046.25,SL Hit,0.25,1.25
2026-06-01,MNQ,short,25,19723.0,19705.25,875.0,TP Hit,0.25,0.5
2026-06-02,MNQ,long,27,21319.5,21341.0,1147.5,TP Hit,0.25,0.5
2026-06-03,MNQ,long,47,19424.0,19413.75,-987.0,SL Hit,0.25,0.5
2026-06-03,MNQ,long,59,19421.0,19431.5,1209.5,TP Hit,0.25,0.5
2026-06-04,NQ,short,3,19188.75,19174.75,825.0,TP Hit,0.25,5.0
