session_date,instrument,time,open,high,low,close,volume
2026-05-01,MNQ,1780997400,20039.5,20042,20025.25,20027.75,16299
2026-05-01,MNQ,1780997460,20027.25,20039,20026.5,20038.25,13291
2026-05-01,MNQ,1780997520,20039.5,20044.75,20038,20041,11589
2026-05-01,MNQ,1780997580,20039.5,20042,20037.5,20037.5,10894
2026-05-01,MNQ,1780997640,20037.25,20042.25,20036,20040,9173
2026-05-01,MNQ,1780997700,20039.5,20049.75,20036.5,20049,9146
2026-05-01,MNQ,1780997760,20048.25,20056.5,20046.25,20055,6337
2026-05-01,MNQ,1780997820,20053.25,20054.25,20046,20047.5,9220
2026-05-01,MNQ,1780997880,20046,20050.25,20040.75,20044.5,11916
2026-05-01,MNQ,1780997940,20044.75,20048.5,20035.5,20038.75,10621
2026-05-01,MNQ,1780998000,20038.5,20040.75,20034.5,20039.75,7841
2026-05-01,MNQ,1780998060,20040.5,20049,20038.75,20045.5,7957
2026-05-01,MNQ,1780998120,20045.5,20048.75,20043.5,20047.5,9780
2026-05-01,MNQ,1780998180,20049.25,20051,20038,20041.5,13024
2026-05-01,MNQ,1780998240,20041.75,20045.75,20037,20037,12214
2026-05-01,MNQ,1780998300,20038.25,20042.25,20034.75,20038.5,11118
2026-05-01,MNQ,1780998360,20037.25,20040.25,20036.5,20039.25,10128
2026-05-01,MNQ,1780998420,20038.5,20042.25,20036.25,20040.75,8150
2026-05-01,MNQ,1780998480,20039.25,20040.5,20025.75,20029,8359
2026-05-01,MNQ,1780998540,20029,20036.75,20025.25,20036.5,5970
2026-05-01,MNQ,1780998600,20038.25,20038.75,20035,20035.25,8759
2026-05-01,MNQ,1780998660,20038.5,20044,20038,20040,11381
2026-05-01,MNQ,1780998720,20039.5,20040.25,20033.5,20035.25,11054
2026-05-01,MNQ,1780998780,20034.25,20041.5,20032.5,20041.5,9852
2026-05-01,MNQ,1780998840,20041.75,20045.25,20035.25,20035.25,8467
2026-05-01,MNQ,1780998900,20034.5,20034.5,20025.25,20026.25,8224
2026-05-01,MNQ,1780998960,20026.5,20027.75,20014.25,20014.25,7095
2026-05-01,MNQ,1780999020,20014.5,20016.5,20011.5,20011.5,5374
2026-05-01,MNQ,1780999080,20010.5,20025.75,20009,20023,6510
2026-05-01,MNQ,1780999140,20022.5,20027.25,20020,20021,4531
2026-05-01,MNQ,1780999200,20022.25,20025.25,20012.5,20015.5,10755
2026-05-01,MNQ,1780999260,20015.25,20021.75,20012,20020,11834
2026-05-01,MNQ,1780999320,20020,20033,20020,20031,9617
2026-05-01,MNQ,1780999380,20031.5,20035.5,20027.25,20027.5,10561
2026-05-01,MNQ,1780999440,20026,20030.5,20021.25,20024.25,8503
2026-05-01,MNQ,1780999500,20024.25,20031.75,20021,20030.75,7111
2026-05-01,MNQ,1780999560,20031.75,20042.5,20028.25,20042.5,4428
2026-05-01,MNQ,1780999620,20041.5,20044.5,20038.5,20041.25,8882
2026-05-01,MNQ,1780999680,20041.5,20044,20039.75,20041.75,9233
2026-05-01,MNQ,1780999740,20041.75,20043.75,20032.75,20035.5,7572
2026-05-01,MNQ,1780999800,20034.75,20037.75,20032.5,20035.25,7671
2026-05-01,MNQ,1780999860,20036,20040.25,20034,20037,7597
2026-05-01,MNQ,1780999920,20037.5,20038,20034.5,20036.75,5301
2026-05-01,MNQ,1780999980,20036.25,20038.25,20032.25,20034.5,5696
2026-05-01,MNQ,1781000040,20034.25,20035.75,20033.25,20033.25,4685
2026-05-01,MNQ,1781000100,20033.75,20036.25,20032.25,20035.75,5017
2026-05-01,MNQ,1781000160,20036.25,20039.25,20027.25,20030.75,5994
2026-05-01,MNQ,1781000220,20030,20036.75,20026.5,20036,5479
2026-05-01,MNQ,1781000280,20036.25,20038.75,20033.75,20034.25,5706
2026-05-01,MNQ,1781000340,20034.75,20038.25,20031.25,20031.25,7476
2026-05-01,MNQ,1781000400,20031.25,20035,20029,20033.25,9150
2026-05-01,MNQ,1781000460,20033.75,20036.25,20032,20034.75,7296
2026-05-01,MNQ,1781000520,20035.5,20042,20035.5,20040.75,8669
2026-05-01,MNQ,1781000580,20040.75,20047.25,20040,20044.75,9236
2026-05-01,MNQ,1781000640,20045.5,20046,20042.5,20046,3812
2026-05-01,MNQ,1781000700,20046.75,20048.5,20045.5,20048.5,7895
2026-05-01,MNQ,1781000760,20049.25,20054.5,20045.75,20051,9191
2026-05-01,MNQ,1781000820,20050.5,20051.5,20044.75,20046.75,13414
2026-05-01,MNQ,1781000880,20046.25,20051,20044,20050.25,28922
2026-05-01,MNQ,1781000940,20049.5,20050.5,20047,20047.75,22079
2026-05-01,MNQ,1781001000,20047.5,20050,20045.75,20046.25,11878
2026-05-01,MNQ,1781001060,20046.5,20048.5,20045.75,20045.75,5720
2026-05-01,MNQ,1781001120,20046,20047.25,20044.5,20046.5,2536
2026-05-01,MNQ,1781001180,20047.25,20049.25,20042,20044.75,4335
2026-05-01,MNQ,1781001240,20044.5,20045.25,20041.5,20044.75,6083
2026-05-01,MNQ,1781001300,20044.75,20051.75,20042,20049.25,6921
2026-05-01,MNQ,1781001360,20048.75,20051,20047.75,20050.25,5977
2026-05-01,MNQ,1781001420,20050,20053.25,20049.5,20050,4015
2026-05-01,MNQ,1781001480,20051,20053,20043.75,20046,4381
2026-05-01,MNQ,1781001540,20046.75,20048.75,20043.5,20045.25,3359
2026-05-01,MNQ,1781001600,20046.25,20051.25,20042.75,20048,6058
2026-05-01,MNQ,1781001660,20048,20054,20047.75,20052.75,5407
2026-05-01,MNQ,1781001720,20053.25,20055,20051.75,20053.5,4908
2026-05-01,MNQ,1781001780,20054,20057.5,20050.75,20051,7302
2026-05-01,MNQ,1781001840,20051.5,20055,20049,20050,4000
2026-05-01,MNQ,1781001900,20050.25,20056.5,20048.25,20054,7658
2026-05-01,MNQ,1781001960,20054.25,20055.75,20052.5,20055.25,7540
2026-05-01,MNQ,1781002020,20055,20055,20048.5,20052.5,8609
2026-05-01,MNQ,1781002080,20052.5,20061.75,20049,20060.5,6825
2026-05-01,MNQ,1781002140,20061.25,20063.75,20053.75,20057,7921
2026-05-01,MNQ,1781002200,20057.25,20065,20057,20062.75,6675
2026-05-01,MNQ,1781002260,20062.25,20075,20058.5,20072.5,8072
2026-05-01,MNQ,1781002320,20071.5,20071.75,20065.25,20069.5,4019
2026-05-01,MNQ,1781002380,20068.25,20068.25,20058.5,20061.5,9522
2026-05-01,MNQ,1781002440,20062.75,20068.25,20059,20065.25,6487
2026-05-01,MNQ,1781002500,20065,20069.5,20063.75,20066,4621
2026-05-01,MNQ,1781002560,20064.75,20065.25,20059,20059.75,8678
2026-05-01,MNQ,1781002620,20058.5,20063.75,20057.25,20062,6963
2026-05-01,MNQ,1781002680,20061.5,20070.25,20060.25,20069,5010
2026-05-01,MNQ,1781002740,20069.5,20070.5,20062.5,20064.75,5676
2026-05-01,MNQ,1781002800,20065.5,20071,20062,20070.75,4901
2026-05-01,MNQ,1781002860,20070.75,20070.75,20059,20062.25,10090
2026-05-01,MNQ,1781002920,20062.5,20066,20060.75,20065,7794
2026-05-01,MNQ,1781002980,20063.75,20066.5,20056.5,20060.5,5411
2026-05-01,MNQ,1781003040,20061,20065.5,20052.25,20054.75,5546
2026-05-01,MNQ,1781003100,20055,20057.75,20049.25,20051,8812
2026-05-01,MNQ,1781003160,20051.25,20052.75,20045.75,20049.25,8504
2026-05-01,MNQ,1781003220,20049.75,20055.75,20048.25,20055.5,5835
2026-05-01,MNQ,1781003280,20056.25,20057,20055,20056,3526
2026-05-01,MNQ,1781003340,20056,20066.25,20055.25,20062.25,7204
2026-05-01,MNQ,1781003400,20061.25,20063.25,20055.5,20057.5,8259
2026-05-01,MNQ,1781003460,20057.5,20061.5,20054.25,20061.25,9005
2026-05-01,MNQ,1781003520,20060.75,20061.75,20055.5,20058.25,11616
2026-05-01,MNQ,1781003580,20058.5,20062.25,20047.75,20051,10039
2026-05-01,MNQ,1781003640,20050.25,20056,20047.75,20052.5,9249
2026-05-01,MNQ,1781003700,20054.75,20056.25,20045.5,20049.75,7693
2026-05-01,MNQ,1781003760,20050,20058.25,20047.25,20056.25,6113
2026-05-01,MNQ,1781003820,20056.25,20060.75,20056,20059.25,4486
2026-05-01,MNQ,1781003880,20059.5,20063.25,20056.25,20057.75,5534
2026-05-01,MNQ,1781003940,20059.75,20060.25,20055.5,20055.75,8650
2026-05-01,MNQ,1781004000,20056,20061.25,20052.75,20060.5,9280
2026-05-01,MNQ,1781004060,20060.25,20063.75,20041.75,20044.75,9180
2026-05-01,MNQ,1781004120,20044.5,20051.5,20043.25,20050.75,8632
2026-05-01,MNQ,1781004180,20050.25,20052.25,20033.25,20035.25,6689
2026-05-01,MNQ,1781004240,20034.75,20043,20033.25,20039,6178
2026-05-01,MNQ,1781004300,20041,20042.25,20034.75,20035.75,4622
2026-05-01,MNQ,1781004360,20034.5,20035,20032,20033.25,3722
2026-05-01,MNQ,1781004420,20034.25,20038.25,20033.75,20035,3327
2026-05-01,MNQ,1781004480,20034.5,20038,20031.75,20033.5,3020
2026-05-01,MNQ,1781004540,20033.5,20035.25,20029.5,20032.5,2128
2026-05-01,MNQ,1781004600,20032.75,20033.75,20030.75,20032.5,1256
2026-05-01,MNQ,1781004660,20032.75,20034.75,20031.5,20033.75,2103
2026-05-01,MNQ,1781004720,20034.25,20038.5,20033.5,20036.25,1790
2026-05-01,MNQ,1781004780,20036.5,20038.75,20031.75,20034.25,2515
2026-05-01,MNQ,1781004840,20033.75,20036,20031.25,20035.75,2655
2026-05-01,MNQ,1781004900,20035.5,20039.75,20031.75,20037.25,1721
2026-05-01,MNQ,1781004960,20037.25,20045.5,20035.25,20045.5,2007
2026-05-01,MNQ,1781005020,20045.75,20050.25,20044.5,20047.5,1812
2026-05-01,MNQ,1781005080,20047.75,20050,20044.5,20048,3026
2026-05-01,MNQ,1781005140,20048,20050.75,20044.75,20048.75,2121
2026-05-01,MNQ,1781005200,20049,20052.25,20045.25,20051.25,2358
2026-05-01,MNQ,1781005260,20051,20051.75,20048.5,20049.5,2061
2026-05-01,MNQ,1781005320,20050,20050.75,20049.5,20049.75,940
2026-05-01,MNQ,1781005380,20050,20053.25,20046.5,20049,2213
2026-05-01,MNQ,1781005440,20048.75,20050.5,20042.5,20044.25,3794
2026-05-01,MNQ,1781005500,20044.75,20047.75,20041.25,20044.5,4461
2026-05-01,MNQ,1781005560,20044.25,20046.25,20036.25,20039.5,3599
2026-05-01,MNQ,1781005620,20039,20042.25,20037.5,20038,2550
2026-05-01,MNQ,1781005680,20037.5,20038.5,20032.75,20036.5,2966
2026-05-01,MNQ,1781005740,20036.75,20037.25,20033.25,20034.75,3012
2026-05-01,MNQ,1781005800,20035.25,20036.75,20028.75,20031.75,1886
2026-05-01,MNQ,1781005860,20030.75,20036.25,20030,20035,2426
2026-05-01,MNQ,1781005920,20036.25,20037.75,20030.25,20034,3913
2026-05-01,MNQ,1781005980,20034.5,20035.25,20031.25,20034.75,4953
2026-05-01,MNQ,1781006040,20034.5,20035,20030.5,20032.75,4696
2026-05-01,MNQ,1781006100,20032.75,20035.75,20031.5,20035.5,3349
2026-05-01,MNQ,1781006160,20035.75,20036.5,20031.25,20032.5,3520
2026-05-01,MNQ,1781006220,20033,20035,20032.5,20033.75,2562
2026-05-01,MNQ,1781006280,20034,20039.25,20033.25,20037,3172
2026-05-01,MNQ,1781006340,20036.75,20041.75,20035.75,20038.25,1766
2026-05-01,MNQ,1781006400,20038.75,20042,20037.25,20037.5,2268
2026-05-01,MNQ,1781006460,20037.5,20042.75,20037,20040.75,2665
2026-05-01,MNQ,1781006520,20040,20042.25,20031,20034.25,2394
2026-05-01,MNQ,1781006580,20034.75,20038.75,20032.25,20032.5,3608
2026-05-01,MNQ,1781006640,20032.75,20035.25,20032.5,20034.75,691
2026-05-01,MNQ,1781006700,20034.5,20038.5,20032.75,20034.25,2338
2026-05-01,MNQ,1781006760,20034.75,20040.5,20031.5,20038,3695
2026-05-01,MNQ,1781006820,20038.25,20040.25,20034.75,20034.75,3228
2026-05-01,MNQ,1781006880,20035,20037.5,20033.75,20034.75,2580
2026-05-01,MNQ,1781006940,20034,20037,20034,20036,997
2026-05-01,MNQ,1781007000,20036.5,20045.5,20036.25,20043.25,2223
2026-05-01,MNQ,1781007060,20043.5,20045.5,20040,20045.25,1493
2026-05-01,MNQ,1781007120,20045.75,20049.25,20042.5,20048.25,1954
2026-05-01,MNQ,1781007180,20047.25,20057.5,20045.25,20055.25,2103
2026-05-01,MNQ,1781007240,20054.5,20061.25,20053.5,20061,2456
2026-05-01,MNQ,1781007300,20060,20068.75,20060,20066.75,2199
2026-05-01,MNQ,1781007360,20066.25,20068.75,20053.25,20054.5,2597
2026-05-01,MNQ,1781007420,20053.75,20054,20052.75,20054,816
2026-05-01,MNQ,1781007480,20052.75,20056.75,20051,20054.75,3889
2026-05-01,MNQ,1781007540,20055.25,20060.75,20053,20058.75,2168
2026-05-01,MNQ,1781007600,20057.25,20060.75,20053.5,20060.75,3341
2026-05-01,MNQ,1781007660,20060.25,20061.5,20048.25,20051.25,3526
2026-05-01,MNQ,1781007720,20053.25,20060,20050,20059.5,2042
2026-05-01,MNQ,1781007780,20060.25,20069,20057.5,20066.25,3669
