session_date,instrument,time,open,high,low,close,volume
2026-05-04,MNQ,1781083800,19594.25,19597.25,19593.75,19595,5033
2026-05-04,MNQ,1781083860,19595,19596.5,19590,19591.25,8569
2026-05-04,MNQ,1781083920,19592,19597.75,19590,19596.25,9736
2026-05-04,MNQ,1781083980,19595.5,19600.25,19593.5,19596.75,14653
2026-05-04,MNQ,1781084040,19596.75,19600.25,19591,19594,25169
2026-05-04,MNQ,1781084100,19594,19598.5,19591.75,19596,10188
2026-05-04,MNQ,1781084160,19596.25,19598.75,19589,19592.25,5611
2026-05-04,MNQ,1781084220,19591.75,19600.25,19588,19600.25,7771
2026-05-04,MNQ,1781084280,19600,19603.25,19599.25,19602.75,7489
2026-05-04,MNQ,1781084340,19602.75,19606,19599,19606,8538
2026-05-04,MNQ,1781084400,19606.25,19606.5,19601.75,19605.5,8801
2026-05-04,MNQ,1781084460,19604.75,19604.75,19602,19604,6630
2026-05-04,MNQ,1781084520,19604.25,19606.25,19599,19601,7139
2026-05-04,MNQ,1781084580,19601.25,19603.75,19599,19601,7964
2026-05-04,MNQ,1781084640,19601,19604.25,19598.5,19600.75,5724
2026-05-04,MNQ,1781084700,19600.25,19606,19597.75,19604.75,8113
2026-05-04,MNQ,1781084760,19605,19608.5,19603.75,19607.25,6752
2026-05-04,MNQ,1781084820,19606.75,19608,19599.5,19602.5,6707
2026-05-04,MNQ,1781084880,19602.75,19605.75,19598,19599.25,6364
2026-05-04,MNQ,1781084940,19599.75,19601.5,19594.75,19595,5325
2026-05-04,MNQ,1781085000,19595,19601,19592,19601,5489
2026-05-04,MNQ,1781085060,19600.75,19605.5,19597.75,19605.5,5267
2026-05-04,MNQ,1781085120,19605.5,19611.75,19604,19609.25,4824
2026-05-04,MNQ,1781085180,19609.25,19611,19607.75,19611,5225
2026-05-04,MNQ,1781085240,19610.75,19619,19609,19616.75,8213
2026-05-04,MNQ,1781085300,19617.25,19624.25,19613.25,19622.75,11380
2026-05-04,MNQ,1781085360,19621.75,19622.5,19616,19619.5,15373
2026-05-04,MNQ,1781085420,19619.25,19621.25,19617.5,19618.75,13860
2026-05-04,MNQ,1781085480,19618.25,19618.75,19616,19616.25,10504
2026-05-04,MNQ,1781085540,19617.25,19624,19615.25,19623.75,10100
2026-05-04,MNQ,1781085600,19624.25,19628,19622.25,19628,8260
2026-05-04,MNQ,1781085660,19628.25,19631.25,19625,19631.25,6031
2026-05-04,MNQ,1781085720,19631,19633.75,19628,19629,4678
2026-05-04,MNQ,1781085780,19629.25,19632.5,19627.75,19630,8824
2026-05-04,MNQ,1781085840,19630.5,19634.25,19630.5,19630.5,10043
2026-05-04,MNQ,1781085900,19630.5,19632,19624.75,19627.25,9986
2026-05-04,MNQ,1781085960,19627.25,19627.5,19625,19626.75,8923
2026-05-04,MNQ,1781086020,19626.5,19627,19623.25,19625.5,7574
2026-05-04,MNQ,1781086080,19625,19628,19620.75,19624.5,7945
2026-05-04,MNQ,1781086140,19624.25,19627,19618.25,19622,6893
2026-05-04,MNQ,1781086200,19623,19625,19619.25,19620.75,6664
2026-05-04,MNQ,1781086260,19621,19623,19618.25,19620.75,10315
2026-05-04,MNQ,1781086320,19620.5,19620.75,19615,19615.75,7959
2026-05-04,MNQ,1781086380,19615.25,19619.75,19613.25,19617,6752
2026-05-04,MNQ,1781086440,19617,19619.25,19615,19617.25,5803
2026-05-04,MNQ,1781086500,19616.25,19623.25,19612.5,19623.25,6667
2026-05-04,MNQ,1781086560,19623.5,19627,19618.5,19621.5,4329
2026-05-04,MNQ,1781086620,19621.5,19622,19615,19615.25,7007
2026-05-04,MNQ,1781086680,19615.75,19621.25,19613.5,19618.5,3701
2026-05-04,MNQ,1781086740,19618,19619.5,19613.25,19615,5864
2026-05-04,MNQ,1781086800,19614.5,19618.5,19610.5,19611.25,4895
2026-05-04,MNQ,1781086860,19610.75,19616.25,19609.25,19613.25,6777
2026-05-04,MNQ,1781086920,19613,19615.5,19609,19613.5,6819
2026-05-04,MNQ,1781086980,19613.75,19616.5,19605,19606.75,6726
2026-05-04,MNQ,1781087040,19606.5,19609.25,19601.25,19603.5,5583
2026-05-04,MNQ,1781087100,19604,19608.25,19600.25,19606,7049
2026-05-04,MNQ,1781087160,19606.5,19606.75,19603.5,19605,4299
2026-05-04,MNQ,1781087220,19605.25,19609.25,19602,19608.75,5719
